Name,Color,Price,Info,Material
Straight LUXE Traveler Jean,Color: light wash,$129.00,44% cotton  42% TENCEL™ modal  13% polyester  1% spandex.Machine wash.Imported.,NEW Straight Fit: Mid-rise. Slim through the thigh. Straight leg opening measures 7.5" flat.Inseams: Short 30"  Regular 32"  Long 34" Model: Size 32x32  6'2" (188cm).
Athletic Tapered LUXE Traveler Jean,Color: washed indigo,$130.00,44% cotton  42% TENCEL™ lyocell  13% polyester  1% spandex.Machine wash.Imported.,Tapered Fit: Mid-rise. Extra room through the seat and thigh. Tapered leg. Slim leg opening measures 6.75" flat.Model: Size 32x32  6'2" (188cm).
Slim LUXE Traveler Jean,Color: dark wash,$130.00,44% cotton  42% TENCEL™ modal  13% polyester  1% elastane.Machine wash.Imported.,Mid-rise sits at the waist  slim through the thigh  slim leg opening.Model: Size 32x32  6'2" (188cm).
Slim Luxe Traveler Jean,Color: medium dark wash,$130.00,57% cotton  17% recycled polyester  14% elastane  11% recycled cotton  1% TENCEL ModalMachine wash.Imported.,Slim Fit: Mid-rise. Slim through thigh. Updated slim leg opening measures 7" flat.Inseams: Short 30"  Regular 32"  Long 34"Model: Size 32x32  6'2" (188cm).
Keegan Denim Shirt,Color: indigo rinse wash,$80.00,87% cotton  13% hemp.Machine wash.Imported.,Standard fit.Long sleeves.Hip length.Body length (size M): Regular 28.5"  Tall 30"Sleeve length from center back: Regular 35"  Tall 36.5"Model: Size M  6'2" (188cm).
Slim LUXE Traveler Jean,Color: rinse dark wash,$130.00,44% cotton  42% TENCEL™ modal  13% polyester  1% elastane.Machine wash.Imported.,NEW Slim Fit: Mid-rise. Slim through thigh. Updated slim leg opening measures 7" flat.Model: Size 32x32  6'2" (188cm).
Slim Luxe Traveler Jean,Color: dark wash,$130.00,57% cotton  17% recycled polyester  14% elastane  11% recycled cotton  1% TENCEL ModalMachine wash.Imported.,Slim Fit: Mid-rise. Slim through thigh. Updated slim leg opening measures 7" flat.Inseams: Short 30"  Regular 32"  Long 34"Model: Size 32x32  6'2" (188cm).
Straight Luxe Traveler Jean,Color: rinse dark wash,$130.00,57% cotton  17% recycled polyester  14% elastane  11% recycled cotton  1% TENCEL ModalMachine wash.Imported.,Straight Fit: Mid-rise. Slim through the thigh. Straight leg opening measures 8" flat.Inseams: Short 30"  Regular 32"  Long 34"Model: Size 32x32  6'2" (188cm).
Athletic Tapered LUXE Traveler Jean,Color: rinse dark wash,$130.00,44% cotton  42% TENCEL™ lyocell  13% polyester  1% spandex.Machine wash.Imported.,Tapered Fit: Mid-rise. Extra room through the seat and thigh. Tapered leg. Slim leg opening measures 6.75" flat.Model: Size 32x32  6'2" (188cm).
Keegan Denim Shirt,Color: ecru wash,$80.00,87% cotton  13% hemp.Machine wash.Imported.,Standard fit.Long sleeves.Hip length.Body length (size M): Regular 28.5"  Tall 30"Sleeve length from center back: Regular 35"  Tall 36.5"Model: Size M  6'2" (188cm).
Slim LUXE Traveler Black Jean,Color: true black,$130.00,43% cotton  29% TENCEL™ lyocell  13% polyester  13% TENCEL™ modal  2% elastane.Machine wash.Imported.,Slim Fit: Mid-rise. Slim through thigh. Slim leg opening measures 7.375" flat.Model: Size 32x32  6'2" (188cm).
Straight Luxe Traveler Jean,Color: black rinse wash,$130.00,57% cotton  17% recycled polyester  14% elastane  11% recycled cotton  1% TENCEL ModalMachine wash.Imported.,Straight Fit: Mid-rise. Slim through the thigh. Straight leg opening measures 8" flat.Inseams: Short 30"  Regular 32"  Long 34"Model: Size 32x32  6'2" (188cm).
