,query,value
0,serenede jeans,9000
1,new jeans kpop,6600
2,purple brand jeans,6450
3,valabasas jeans,6350
4,new jeans members,5150
5,gallery dept,4750
6,chrome hearts jeans,3600
7,judy blue jeans,2950
8,agolde jeans,1350
9,stacked jeans,1250
10,black stacked jeans,1050
11,ksubi jeans,900
12,amiri jeans,800
13,purple jeans men,700
14,rta jeans,650
15,kimes ranch jeans,550
16,kancan jeans,550
17,mugsy jeans,550
18,purple jeans,500
19,lee extreme motion jeans,450
20,baggy jeans,400
21,black mom jeans,400
22,everlane jeans,400
23,black flare jeans,350
24,wide leg jeans,300
